kid,schlag,knr,ktyp,gpsr,gpsh,koa,kod,wt,wb,kz,vn,aves,mamm,invert,flkot,qtyp,flart,flges,flm,flw,flad,fljuv,sonstiges
klo001,klo,0,mk,4467991,5391265,10,4,21,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
klo001,klo,0,mk,4467991,5391265,11,2,19,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
klo002,klo,61,dk,4468078,5391161,10,4,21,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
klo002,klo,61,dk,4468078,5391161,11,2,19,b,lb,1,2,0,0,1,0,0,0,0,0,0,0,0
klo003,klo,189,mk,4467891,5391361,10,4,21,b,sb,1,2,0,0,1,5,M.nattereri,20,0,0,0,0,0
klo003,klo,189,mk,4467891,5391361,11,2,19,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
klo004,klo,606,mk,4467655,5391749,10,4,21,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,12
klo004,klo,606,mk,4467655,5391749,11,1,27,s,sb,1,2,0,0,1,5,M.nattereri,6,0,0,3,3,0
klo005,klo,609,mk,4467697,5391638,11,1,27,s,sb,1,2,0,2,1,2,M.nattereri,1,1,0,0,1,0
klo006,klo,611,mk,4467730,5391560,10,4,21,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
klo006,klo,611,mk,4467730,5391560,11,1,27,s,lb,1,2,0,0,0,0,0,0,0,0,0,0,0
klo007,klo,613,mk,4467776,5391512,10,4,21,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
klo007,klo,613,mk,4467776,5391512,11,1,27,s,sb,1,2,0,4,1,5,M.daubentonii,14,0,0,0,0,0
klo008,klo,615,mk,4467818,5391474,10,4,21,b,i,1,2,0,0,1,4,Plec.auritus,2,1,1,2,0,0
klo008,klo,615,mk,4467818,5391474,11,2,19,b,lb,0,0,0,0,1,0,0,0,0,0,0,0,0
klo009,klo,616,mk,4467856,5391411,11,2,19,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
klo010,klo,618,mk,4467954,5391295,11,2,19,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,1
klo011,klo,622,mk,4468037,5391234,10,6,19,r,i,1,2,0,0,1,0,0,0,0,0,0,0,0
klo011,klo,622,mk,4468037,5391234,11,2,19,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
klo012,klo,620,mk,4467986,5391262,11,2,19,b,sb,1,2,0,0,1,5,M.daubentonii,10,0,0,0,0,0
klo013,klo,761,mk,4467708,5391596,10,4,21,b,sb,1,2,0,0,1,5,M.nattereri,10,0,0,0,0,0
klo013,klo,761,mk,4467708,5391596,11,1,27,s,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
klo015,klo,178B,bgk,4467650,53917677,10,4,21,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
klo015,klo,178B,bgk,4467650,53917677,11,1,27,s,i,1,2,0,0,1,5,M.nattereri,4,0,0,2,2,0
klo016,klo,180B,bgk,4467670,5391719,10,4,21,b,i,1,2,0,0,0,0,0,0,0,0,0,0,0
klo016,klo,180B,bgk,4467670,5391719,11,1,27,s,lb,1,2,0,0,1,0,0,0,0,0,0,0,0
klo017,klo,182B,bgk,4467690,5391654,10,4,21,b,i,1,4,0,0,1,0,0,0,0,0,0,0,0
klo018,klo,185B,bgk,4467740,5391534,10,4,21,b,i,1,2,0,0,1,5,Plec.auritus,9,0,0,0,0,0
klo018,klo,185B,bgk,4467740,5391534,11,1,27,s,i,1,1,0,0,1,0,0,0,0,0,0,0,0
klo019,klo,188A,bgk,4467798,5391468,10,4,21,b,i,1,2,0,0,1,0,0,0,0,0,0,0,0
klo019,klo,188A,bgk,4467798,5391468,11,1,27,s,i,1,2,0,4,1,4,M.daubentonii,2,1,1,2,0,0
klo020,klo,188B,bgk,4467779,5391461,10,4,21,b,i,1,1,0,0,1,0,0,0,0,0,0,0,7
klo021,klo,189B,bgk,4467870,5391397,10,4,21,b,lb,1,3,0,0,0,0,0,0,0,0,0,0,0
klo021,klo,189B,bgk,4467870,5391397,11,2,19,b,lb,1,2,0,0,1,2,M.daubentonii,1,1,0,1,0,10 0
klo022,klo,39,fk,4468011,5391661,10,5,23,w,i,1,0,0,1,0,0,0,0,0,0,0,0,1
klo023,klo,N4,sfk,4468009,5391256,11,2,19,b,i,1,0,0,2,0,0,0,0,0,0,0,0,0
klo025,klo,184B,bgk,4467713,5391587,10,4,21,b,sb,1,2,0,0,1,0,0,0,0,0,0,0,12
